Fecha,Temperatura
2012-05-14 00:00:00.0,9.535419
2012-05-15 00:00:00.0,6.206944
2020-05-17 00:00:00.0,-999.99
2016-12-06 00:00:00.0,N/A
2012-05-18 00:00:00.0,4.203472
2012-08-30 00:00:00.0,-999.99
2012-05-20 00:00:00.0,4.657639
2012-05-21 00:00:00.0,2.972222
2012-05-22 00:00:00.0,1.9875
2012-05-23 00:00:00.0,0.07777773
2011-10-24 00:00:00.0,N/A
2016-03-01 00:00:00.0,-999.99
2012-05-26 00:00:00.0,7.168057
2012-05-27 00:00:00.0,7.919446
2012-05-28 00:00:00.0,9.231249
2012-05-29 00:00:00.0,9.049303
2016-11-05 00:00:00.0,N/A
2012-05-31 00:00:00.0,5.131945
2019-11-23 00:00:00.0,-999.99
2012-06-02 00:00:00.0,8.182638
2012-06-03 00:00:00.0,6.386805
2012-06-04 00:00:00.0,5.515971
2016-12-27 00:00:00.0,-999.99
2012-06-06 00:00:00.0,-1.921528
2011-12-16 00:00:00.0,N/A
2012-06-08 00:00:00.0,1.088194
2012-06-09 00:00:00.0,1.495139
2012-06-10 00:00:00.0,7.368748
2012-06-11 00:00:00.0,3.693751
2012-06-12 00:00:00.0,5.318058
2019-12-18 00:00:00.0,-999.99
2012-06-14 00:00:00.0,2.671528
2012-06-15 00:00:00.0,-0.7381942
2012-06-16 00:00:00.0,0.6861112
2012-06-17 00:00:00.0,2.102778
2012-06-18 00:00:00.0,6.111111
2012-06-19 00:00:00.0,7.100695
2012-06-20 00:00:00.0,6.506945
2012-06-21 00:00:00.0,5.191668
2012-06-22 00:00:00.0,5.481943
2012-06-23 00:00:00.0,7.285417
2012-06-24 00:00:00.0,4.290277
2012-06-25 00:00:00.0,1.565972
2012-06-26 00:00:00.0,9.453472
2012-06-27 00:00:00.0,6.407638
2012-06-28 00:00:00.0,6.127778
2012-06-29 00:00:00.0,6.681944
2016-01-31 00:00:00.0,-999.99
2012-07-01 00:00:00.0,3.12014
2012-07-02 00:00:00.0,2.05
2012-07-03 00:00:00.0,3.420139
2012-07-04 00:00:00.0,1.558334
2012-07-05 00:00:00.0,1.510417
2012-07-06 00:00:00.0,2.960416
2012-07-07 00:00:00.0,6.316668
2012-07-08 00:00:00.0,4.684028
2012-07-09 00:00:00.0,1.819445
2012-07-10 00:00:00.0,2.664584
2012-07-11 00:00:00.0,5.802082
2012-07-12 00:00:00.0,6.856946
2012-07-13 00:00:00.0,7.647222
2014-12-11 00:00:00.0,-999.99
2012-07-15 00:00:00.0,0.2729167
2012-07-16 00:00:00.0,3.224306
2019-07-07 00:00:00.0,N/A
2012-07-18 00:00:00.0,7.02986
2012-07-19 00:00:00.0,6.877084
2012-07-20 00:00:00.0,5.302778
2012-07-21 00:00:00.0,6.6625
2012-07-22 00:00:00.0,5.513194
2012-07-23 00:00:00.0,4.738195
2012-07-24 00:00:00.0,3.636805
2012-07-25 00:00:00.0,5.254167
2012-07-26 00:00:00.0,5.052778
2012-07-27 00:00:00.0,5.062499
2012-07-28 00:00:00.0,4.183333
2012-07-29 00:00:00.0,3.019444
